FARM_NO,FARM_PIG_NO,BUNMAN_SANCHA,GYOBAE_DT,BUNMAN_DT,CHONGSAN,SILSAN,EUDUSU,EUKG,CHOGYOBAE,JAE
1751,8-36,1,20131010,20140205,7,7,8,0,252,
1751,8-36,2,20140304,20140628,11,10,9,0,,5
1751,8-36,3,20140728,20141122,9,8,8,0,,4
1751,8-36,4,20141223,20150417,13,10,11,0,,5
1751,8-36,5,20150512,20150905,8,7,10,0,,5
1751,8-36,6,20151005,20160131,12,11,10,0,,4
1751,8-36,7,20160301,20160626,13,9,10,0,,5
1751,8-23,1,20131209,20140404,6,6,10,0,320,
1751,8-23,2,20140506,20140830,1,0,7,0,,5
1751,8-182,1,20131021,20140213,8,8,10,0,180,
1751,8-182,2,20140330,20140723,11,11,10,0,,
1751,8-101,1,20131129,20140326,13,11,10,0,277,
1751,8-101,2,20140605,20140930,10,6,10,0,,
1751,8-101,3,20141028,20150220,12,10,10,0,,5
1751,8-101,4,20150405,20150730,15,6,11,0,,
1751,8-101,5,20150825,20151220,5,4,10,0,,5
1751,8-101,6,20160119,20160515,5,5,10,0,,5
1751,8-35,1,20140202,20140526,10,9,10,0,291,
1751,8-35,2,20140715,20141104,16,9,9,0,,26
1751,8-35,3,20141202,20150326,16,13,10,0,,5
1751,8-35,4,20150428,20150820,8,7,10,0,,5
1751,8-12,1,20130927,20140123,9,9,10,0,259,
1751,8-12,2,20140225,20140618,10,7,10,0,,5
1751,8-12,3,20140716,20141110,5,4,10,0,,6
1751,8-12,4,20141210,20150405,6,4,10,0,,5
1751,8-58,1,20130806,20131129,10,10,10,0,187,
1751,8-58,2,20140215,20140612,9,9,10,0,,
1751,8-58,3,20140708,20141102,2,2,9,0,,5
1751,8-24,1,20131105,20140303,9,9,11,0,286,
1751,8-24,2,20140401,20140725,8,8,10,0,,5
1751,8-24,3,20140819,20141213,7,7,10,0,,5
1751,8-24,4,20150113,20150509,10,9,11,0,,5
1751,8-24,5,20150601,20150924,13,12,11,0,,4
1751,8-24,6,20151027,20160219,12,12,11,0,,5
1751,8-24,7,20160329,20160722,10,10,11,0,,5
1751,8-24,8,20160817,20161212,10,8,11,0,,4
1751,8-60,1,20131109,20140304,12,11,9,0,282,
1751,8-60,2,20140401,20140724,11,11,11,0,,5
1751,8-60,3,20140819,20141212,16,13,10,0,,5
1751,8-60,4,20150113,20150508,15,13,12,0,,5
1751,8-60,5,20150601,20150924,10,10,10,0,,4
1751,8-60,6,20151025,20160217,19,13,10,0,,5
1751,8-60,7,20160406,20160731,16,13,10,0,,20
1751,8-60,8,20160923,20170117,10,8,11,0,,22
1751,8-69,1,20131229,20140428,10,9,9,0,329,
1751,8-69,2,20140527,20140921,12,12,10,0,,5
1751,8-69,3,20141021,20150215,13,11,11,0,,5
1751,8-69,4,20150317,20150714,17,15,10,0,,5
1751,8-69,5,20150811,20151206,15,13,10,0,,5
1751,8-69,6,20160105,20160501,11,9,10,0,,5
1751,8-69,7,20160531,20160921,13,6,10,0,,5
1751,8-54,1,20140122,20140517,9,9,10,0,291,
1751,8-54,2,20140611,20141005,12,10,10,0,,6
1751,8-54,3,20141104,20150228,17,12,10,0,,5
1751,8-54,4,20150401,20150726,6,6,10,0,,11
1751,8-54,5,20150825,20151221,7,6,10,0,,5
1751,8-41,1,20131115,20140314,9,7,7,0,293,
1751,8-41,2,20140408,20140802,5,5,10,0,,5
1751,8-41,3,20140916,20150112,9,7,9,0,,
1751,8-41,4,20150210,20150604,12,10,11,0,,5
1751,8-37,1,20131226,20140426,2,1,10,0,335,
1751,8-37,2,20140521,20140913,11,11,10,0,,6
1751,8-123,1,20131203,20140331,10,10,10,0,306,
1751,8-123,2,20140429,20140823,11,11,11,0,,5
1751,8-123,3,20140917,20150111,13,13,10,0,,6
1751,8-123,4,20150210,20150606,17,15,12,0,,5
1751,8-123,5,20150630,20151026,13,11,10,0,,5
1751,8-123,6,20151124,20160321,6,6,10,0,,5
1751,8-74,1,20131020,20140212,10,10,10,0,261,
1751,8-74,2,20140502,20140824,5,5,10,0,,
1751,8-74,3,20141018,20150212,5,5,10,0,,
1751,8-91,1,20131230,20140426,12,10,10,0,315,
1751,8-91,2,20140729,20141123,14,12,8,0,,
1751,8-91,3,20141223,20150421,18,14,11,0,,5
1751,8-91,4,20150519,20150915,5,4,10,0,,5
1751,8-31,1,20130820,20131213,10,10,10,0,207,
1751,8-31,2,20140114,20140510,8,8,10,0,,5
1751,8-94,1,20140211,20140609,7,7,7,0,291,
1751,8-94,2,20140701,20141025,11,7,8,0,,5
1751,8-94,3,20141125,20150323,10,10,11,0,,5
1751,8-94,4,20150421,20150815,17,9,10,0,,5
1751,8-94,5,20150915,20160111,12,8,10,0,,5
1751,8-94,6,20160209,20160605,14,8,10,0,,5
1751,8-80,1,20130827,20131220,7,7,10,0,195,
1751,8-80,2,20140405,20140729,11,8,10,0,,
1751,8-80,3,20140916,20150110,10,9,9,0,,
1751,8-80,4,20150210,20150605,10,10,11,0,,5
1751,8-80,5,20150629,20151023,9,7,10,0,,4
1751,8-51,1,20131109,20140304,14,13,11,0,282,
1751,8-61,1,20131111,20140305,9,9,10,0,284,
1751,8-61,2,20140401,20140721,10,4,9,0,,5
1751,8-61,3,20140909,20150106,14,13,9,0,,
1751,8-61,4,20150203,20150527,11,9,11,0,,5
1751,8-61,5,20150623,20151014,10,6,10,0,,5
1751,8-108,1,20131113,20140310,12,10,8,0,244,
1751,8-108,2,20140429,20140823,13,12,10,0,,
1751,8-108,3,20140923,20150118,11,9,10,0,,5
1751,8-108,4,20150217,20150613,5,5,10,0,,5
1751,8-108,5,20150720,20151113,12,11,10,0,,11
1751,8-108,6,20151224,20160418,10,9,12,0,,14
1751,8-108,7,20160516,20160908,14,10,10,0,,4
1751,8-99,1,20131105,20140228,11,10,10,0,253,
1751,8-99,2,20140415,20140809,13,12,10,0,,
1751,8-99,3,20140922,20150118,9,9,10,0,,
1751,8-99,4,20150402,20150727,12,9,10,0,,
1751,8-176,1,20131214,20140408,13,11,10,0,239,
1751,8-197,1,20131231,20140429,11,10,10,0,250,
1751,8-172,1,20140126,20140523,10,10,10,0,282,
1751,8-179,1,20140211,20140606,14,13,10,0,293,
1751,8-179,2,20140928,20150125,11,10,10,0,,
1751,8-179,3,20150225,20150621,10,10,11,0,,6
1751,8-102,1,20131221,20140414,7,7,10,0,299,
1751,8-102,2,20140513,20140904,8,8,10,0,,5
1751,8-102,3,20140930,20150124,7,6,10,0,,5
1751,8-187,1,20131204,20140402,9,9,11,0,224,
1751,8-187,2,20140429,20140824,0,0,4,0,,5
1751,8-156,1,20131205,20140402,13,12,11,0,241,
1751,8-156,2,20140429,20140823,14,13,10,0,,5
1751,8-156,3,20140923,20150117,16,14,10,0,,5
1751,8-156,4,20150217,20150613,16,12,10,0,,5
1751,8-156,5,20150707,20151101,17,10,10,0,,5
1751,8-156,6,20151201,20160325,11,9,11,0,,5
1751,8-178,1,20140227,20140624,9,6,0,0,309,
1751,8-169,1,20131222,20140419,7,7,10,0,254,
1751,8-169,2,20140513,20140905,8,8,10,0,,5
1751,8-169,3,20141122,20150318,11,10,11,0,,
1751,8-169,4,20150414,20150808,12,11,10,0,,5
1751,8-169,5,20150901,20151228,11,11,10,0,,5
1751,8-169,6,20160126,20160523,9,8,11,0,,5
1751,8-169,7,20160621,20161016,13,12,10,0,,5
1751,8-127,1,20140203,20140530,16,14,10,0,,
1751,8-127,2,20140701,20141027,8,8,8,0,,5
1751,8-127,3,20141126,20150321,12,11,11,0,,6
1751,8-127,4,20150421,20150814,10,10,10,0,,5
1751,8-127,5,20150915,20160109,15,13,10,0,,5
1751,8-127,6,20160224,20160619,17,12,12,0,,20
1751,8-167,1,20140117,20140514,12,12,11,0,280,
1751,8-167,2,20140804,20141128,14,12,10,0,,
1751,8-167,3,20141230,20150425,19,13,12,0,,5
1751,8-167,4,20150526,20150919,12,9,11,0,,5
1751,8-167,5,20151020,20160214,10,10,11,0,,5
1751,8-167,6,20160322,20160716,12,11,11,0,,5
1751,8-167,7,20160815,20161212,4,4,11,0,,4
1751,8-167,8,20170116,20170513,9,8,12,0,,4
1751,8-167,9,20170611,20171006,13,12,11,0,,3
1751,8-167,10,20171107,20180302,10,10,11,0,,5
1751,8-167,11,20180403,20180726,17,15,11,0,,5
1751,8-167,12,20180827,20181220,13,12,11,0,,4
1751,8-171,1,20140114,20140512,10,10,11,0,270,
1751,8-171,2,20140603,20140928,4,4,10,0,,5
1751,8-171,3,20141028,20150223,8,8,10,0,,5
1751,8-171,4,20150324,20150718,14,12,11,0,,5
1751,8-171,5,20150927,20160122,14,12,10,0,,
1751,8-171,6,20160223,20160619,16,10,12,0,,5
1751,8-171,7,20160719,20161113,13,11,11,0,,5
1751,8-171,8,20161213,20170409,8,7,12,0,,5
1751,8-155,1,20131221,20140417,14,13,10,0,257,
1751,8-155,2,20140513,20140830,12,11,9,0,,5
1751,8-155,3,20140930,20150124,11,10,10,0,,5
1751,8-155,4,20150224,20150619,11,11,11,0,,5
1751,8-155,5,20150714,20151108,12,10,10,0,,5
1751,8-155,6,20151220,20160414,12,11,12,0,,17
1751,8-155,7,20160517,20160911,14,10,10,0,,5
1751,8-155,8,20161019,20170214,15,13,11,0,,5
1751,8-155,9,20170410,20170804,10,9,11,0,,4
1751,8-109,1,20140130,20140527,10,10,10,0,322,
1751,8-109,2,20140624,20141017,12,12,8,0,,5
1751,8-109,3,20141118,20150311,14,10,10,0,,5
1751,8-109,4,20150429,20150818,14,12,10,0,,27
1751,8-138,1,20131226,20140422,12,12,10,0,266,
1751,8-164,1,20131227,20140423,11,9,10,0,,
1751,8-164,2,20140520,20140913,5,5,10,0,,5
1751,8-164,3,20141014,20150206,15,13,11,0,,5
1751,8-164,4,20150303,20150626,14,12,11,0,,5
1751,8-164,5,20150721,20151114,14,13,10,0,,5
1751,8-164,6,20151215,20160407,14,13,11,0,,5
1751,8-164,7,20160510,20160902,13,8,10,0,,5
1751,8-164,8,20161010,20170203,14,10,11,0,,4
1751,8-166,1,20131008,20140203,10,10,10,0,179,
1751,8-166,2,20140415,20140810,13,10,10,0,,
1751,8-166,3,20140909,20150104,8,8,9,0,,5
1751,8-166,4,20150203,20150529,16,15,11,0,,5
1751,8-140,1,20131022,20140217,12,12,10,0,201,
1751,8-140,2,20140325,20140718,16,14,10,0,,5
1751,8-140,3,20140812,20141206,11,11,10,0,,5
1751,8-140,4,20150106,20150501,17,13,11,0,,5
1751,8-140,5,20150526,20150919,16,12,11,0,,5
1751,8-140,6,20151019,20160213,13,12,10,0,,4
1751,8-156,1,20131205,20140329,11,11,11,0,241,
1751,8-156,2,20140429,20140822,14,13,11,0,,5
1751,8-156,3,20140916,20150109,12,12,10,0,,5
1751,8-156,4,20150327,20150720,7,7,11,0,,
1751,8-156,5,20150818,20151211,14,12,10,0,,5
1751,8-156,6,20160125,20160519,9,9,10,0,,18
1751,8-156,7,20160621,20161013,12,12,10,0,,5
1751,8-156,8,20161114,20170308,9,9,11,0,,4
1751,6-75,4,20130717,20131111,8,7,10,0,,
1751,6-75,5,20131210,20140405,7,5,10,0,,5
1751,4-89,6,20130718,20131114,12,12,10,0,,
1751,4-89,7,20131217,20140416,14,13,10,0,,5
1751,4-89,8,20140514,20140909,8,8,9,0,,6
1751,5-21,5,20130723,20131116,8,8,10,0,,
1751,5-21,6,20131217,20140411,12,10,11,0,,5
1751,5-21,7,20140513,20140906,7,6,6,0,,5
1751,5-84,5,20130723,20131114,10,8,10,0,,
1751,5-84,6,20131217,20140411,14,13,12,0,,5
1751,5-84,7,20140513,20140905,6,6,10,0,,5
1751,93-10,5,20130723,20131116,8,8,10,0,,
1751,93-10,6,20131217,20140410,11,11,10,0,,5
1751,93-10,7,20140506,20140830,12,12,9,0,,5
1751,93-10,8,20140923,20150115,16,12,10,0,,5
1751,93-10,9,20150224,20150620,12,11,11,0,,12
1751,93-10,10,20150714,20151107,12,9,10,0,,5
1751,3-85,7,20130723,20131118,10,0,10,0,,
1751,6-27,4,20130723,20131121,1,0,10,0,,
1751,6-27,5,20131217,20140415,11,10,11,0,,5
1751,6-27,6,20140513,20140910,3,3,10,0,,5
1751,6-137,2,20130723,20131116,13,13,10,0,,
1751,6-137,3,20131216,20140411,13,12,12,0,,4
1751,6-137,4,20140513,20140905,12,9,10,0,,5
1751,6-137,5,20141007,20150201,13,11,10,0,,5
1751,6-137,6,20150303,20150627,14,12,11,0,,5
1751,6-137,7,20150721,20151116,12,10,10,0,,5
1751,6-137,8,20151215,20160408,8,8,11,0,,5
1751,6-137,9,20160510,20160903,11,9,10,0,,5
1751,5-166,4,20130723,20131117,14,12,10,0,,
1751,5-166,5,20131217,20140414,12,10,11,0,,5
1751,5-166,6,20140513,20140907,12,11,10,0,,5
1751,5-166,7,20141007,20150201,14,13,10,0,,5
1751,5-166,8,20150303,20150627,11,8,11,0,,5
1751,90-63,2,20130723,20131115,12,11,10,0,,
1751,90-63,3,20140104,20140428,15,13,9,0,,
1751,90-63,4,20140616,20141008,12,11,10,0,,
1751,90-63,5,20141104,20150227,13,9,10,0,,5
1751,90-63,6,20150331,20150723,12,11,10,0,,10
1751,8-4,1,20130724,20131116,11,8,10,0,241,
1751,8-4,2,20140106,20140503,11,11,10,0,,
1751,8-4,3,20140617,20141012,5,5,9,0,,
1751,8-4,4,20141111,20150306,9,7,10,0,,5
1751,8-4,5,20150331,20150725,11,8,10,0,,10
1751,64-72,1,20130724,20131119,11,10,10,0,241,
1751,64-72,2,20131224,20140420,6,6,10,0,,5
1751,64-72,3,20140520,20140915,9,7,10,0,,5
1751,64-72,4,20141014,20150210,8,7,10,0,,5
1751,64-59,1,20130724,20131120,12,10,10,0,241,
1751,64-59,2,20131217,20140410,10,10,10,0,,5
1751,64-59,3,20140506,20140829,7,7,10,0,,5
1751,64-59,4,20140930,20150122,12,12,10,0,,5
1751,6-60,2,20130724,20131115,14,13,10,0,,
1751,6-60,3,20131217,20140414,15,14,12,0,,5
1751,6-60,4,20140514,20140907,16,14,10,0,,6
1751,6-60,5,20141006,20150129,13,11,10,0,,4
1751,6-60,6,20150225,20150621,14,9,10,0,,6
1751,8-1,1,20130727,20131120,14,10,10,0,241,
1751,8-1,2,20131224,20140421,7,7,10,0,,5
1751,8-1,3,20140615,20141007,12,12,10,0,,
1751,8-1,4,20141105,20150302,10,10,10,0,,6
1751,8-1,5,20150331,20150728,5,4,10,0,,10
1751,6-40,1,20130730,20131125,3,3,0,0,241,
1751,63-48,1,20130729,20131123,13,11,10,0,241,
1751,63-48,2,20131225,20140422,7,7,10,0,,6
1751,63-48,3,20140520,20140915,12,9,10,0,,5
1751,63-48,4,20141015,20150207,11,10,11,0,,6
1751,63-48,5,20150310,20150703,9,8,10,0,,5
1751,6-10,2,20130730,20131125,3,3,10,0,,
1751,6-10,3,20131224,20140418,15,14,10,0,,5
1751,6-10,4,20141002,20150128,14,14,10,0,,
1751,6-10,5,20150224,20150619,15,13,10,0,,5
1751,6-10,6,20150714,20151107,18,15,10,0,,5
1751,6-10,7,20151221,20160415,19,14,12,0,,18
1751,6-10,8,20160517,20160909,15,12,10,0,,5
1751,4-8,7,20130730,20131121,11,11,10,0,,
1751,4-8,8,20131224,20140418,12,10,11,0,,5
1751,3-185,8,20130730,20131122,12,10,10,0,,
1751,3-185,9,20131224,20140419,12,11,10,0,,12
1751,5-60,5,20130730,20131120,14,13,9,0,,
1751,5-60,6,20131224,20140417,15,13,11,0,,5
1751,5-60,7,20140514,20140905,12,8,9,0,,6
1751,3-98,8,20130730,20131125,12,11,10,0,,
1751,3-98,9,20131224,20140419,10,10,10,0,,5
1751,5-70,5,20130731,20131125,14,13,10,0,,
1751,5-70,6,20131224,20140419,15,13,10,0,,5
1751,5-70,7,20140520,20140915,9,7,10,0,,5
1751,5-70,8,20141014,20150208,12,10,11,0,,5
1751,5-70,9,20150310,20150703,10,8,10,0,,5
1751,5-184,4,20130801,20131125,10,8,0,0,,
1751,64-60,1,20130802,20131127,12,12,10,0,242,
1751,64-60,2,20131224,20140419,13,12,10,0,,5
1751,64-60,3,20140513,20140906,11,11,10,0,,5
1751,64-60,4,20141007,20150201,14,12,11,0,,5
1751,64-60,5,20150303,20150626,17,12,11,0,,5
1751,64-60,6,20150721,20151116,10,10,10,0,,5
1751,5-159,4,20130802,20131127,6,6,10,0,,
1751,5-159,5,20131224,20140420,14,11,10,0,,5
1751,5-159,6,20140521,20140915,14,11,10,0,,6
1751,5-159,7,20141014,20150209,11,11,10,0,,5
1751,6-103,2,20130802,20131127,13,11,10,0,,
1751,6-103,3,20131223,20140418,17,17,11,0,,4
1751,8-6,1,20130803,20131127,11,10,8,0,242,
1751,8-6,2,20140118,20140516,11,8,11,0,,
1751,3-148,8,20130806,20131128,11,11,8,0,,
1751,3-84,6,20130806,20131202,8,8,10,0,,
1751,3-84,7,20131231,20140428,4,3,10,0,,5
1751,3-71,8,20130806,20131202,4,2,8,0,,
1751,3-71,9,20131231,20140426,10,9,10,0,,5
1751,5-29,5,20130806,20131201,9,9,8,0,,
1751,5-29,6,20131231,20140426,13,10,10,0,,5
1751,5-29,7,20140528,20140921,10,9,10,0,,6
1751,5-29,8,20141021,20150215,12,11,11,0,,5
1751,5-29,9,20150318,20150711,15,12,11,0,,6
1751,5-67,5,20130806,20131129,10,10,9,0,,
1751,5-67,6,20131230,20140424,12,10,10,0,,4
1751,5-67,7,20140520,20140913,13,13,10,0,,5
1751,5-67,8,20141014,20150206,10,8,10,0,,5
1751,4-127,6,20130806,20131129,10,10,9,0,,
1751,4-127,7,20131231,20140423,8,8,10,0,,5
1751,92-81,2,20130807,20131202,14,11,8,0,,
1751,92-81,3,20131231,20140428,13,12,11,0,,5
1751,6-18,4,20130807,20131128,13,12,8,0,,
1751,6-18,5,20140115,20140512,17,14,11,0,,20
1751,6-18,6,20140609,20141001,3,3,11,0,,4
1751,6-18,7,20141021,20150215,14,13,11,0,,5
1751,6-18,8,20150317,20150709,11,7,11,0,,5
1751,5-97,5,20130807,20131202,10,9,7,0,,
1751,5-97,6,20131231,20140424,13,10,10,0,,5
1751,5-104,4,20130810,20131205,13,12,10,0,,
1751,5-104,5,20131231,20140423,7,7,10,0,,5
1751,5-104,6,20140520,20140913,7,6,10,0,,5
1751,4-129,5,20130811,20131207,18,16,10,0,,
1751,4-129,6,20140107,20140506,14,14,10,0,,5
1751,6-121,2,20130812,20131205,16,14,12,0,,
1751,6-121,3,20131231,20140423,7,7,10,0,,5
1751,6-121,4,20140520,20140912,8,8,11,0,,5
1751,6-121,5,20141007,20150130,12,12,12,0,,5
1751,6-121,6,20150303,20150626,13,11,12,0,,5
1751,6-121,7,20150721,20151113,13,10,10,0,,5
1751,8-5,1,20130810,20131204,13,11,12,0,242,
1751,8-5,2,20140103,20140429,13,12,11,0,,8
1751,8-5,3,20140527,20140920,16,12,11,0,,5
1751,8-5,4,20141021,20150213,12,8,10,0,,5
1751,8-5,5,20150311,20150703,14,13,11,0,,6
1751,8-5,6,20150728,20151121,6,6,10,0,,5
1751,4-185,6,20130813,20131207,11,10,10,0,,
1751,4-185,7,20140107,20140504,15,12,10,0,,5
1751,6-130B,4,20130812,20131207,10,10,10,0,,
1751,6-130B,5,20140107,20140501,10,10,10,0,,5
1751,6-130B,6,20140616,20141009,15,14,10,0,,
1751,6-130B,7,20150108,20150504,10,10,12,0,,
1751,6-130B,8,20150625,20151019,13,8,10,0,,28
1751,6-130B,9,20151118,20160312,11,10,12,0,,6
1751,6-130B,10,20160412,20160810,13,8,10,0,,5
1751,5-37,5,20130813,20131207,11,10,10,0,,
1751,5-37,6,20140108,20140505,9,9,10,0,,6
1751,6-8,4,20130816,20131210,14,13,10,0,,
1751,6-8,5,20140124,20140518,18,17,10,0,,22
1751,6-8,6,20140701,20141023,14,11,8,0,,19
1751,6-8,7,20141208,20150403,16,10,10,0,,25
1751,4-176,6,20130817,20131209,16,16,10,0,,
1751,4-176,7,20140107,20140502,15,13,11,0,,5
1751,4-176,8,20140527,20140919,15,13,10,0,,5
1751,4-176,9,20141021,20150212,15,13,10,0,,5
1751,4-176,10,20150310,20150703,14,9,10,0,,5
1751,4-176,11,20150728,20151122,8,8,10,0,,5
1751,4-180,6,20130819,20131213,9,8,10,0,,
1751,4-180,7,20140114,20140510,12,11,11,0,,5
1751,5-106,5,20130819,20131212,12,11,10,0,,
1751,5-106,6,20140107,20140429,15,12,10,0,,5
1751,5-52,5,20130819,20131213,17,14,11,0,,
1751,5-52,6,20140114,20140510,15,12,11,0,,5
1751,5-52,7,20140604,20140927,14,12,10,0,,6
1751,5-52,8,20141028,20150221,13,11,10,0,,5
1751,5-52,9,20150324,20150719,11,10,10,0,,5
1751,6-104,2,20130819,20131214,10,10,10,0,,
1751,6-104,3,20140114,20140509,18,13,10,0,,5
1751,6-104,4,20140603,20140927,16,16,10,0,,5
1751,6-104,5,20141027,20150221,14,12,11,0,,4
1751,6-104,6,20150316,20150711,14,12,11,0,,4
1751,6-104,7,20150804,20151129,5,4,10,0,,5
1751,4-64,7,20130819,20131211,15,13,11,0,,
1751,4-64,8,20140107,20140503,14,8,10,0,,5
1751,4-64,9,20140527,20140919,14,9,2,0,,5
1751,6-20,4,20130819,20131214,6,6,10,0,,
1751,6-20,5,20140114,20140510,9,9,11,0,,5
1751,6-20,6,20140603,20140927,11,10,10,0,,5
1751,6-20,7,20141028,20150220,12,11,10,0,,5
1751,6-20,8,20150318,20150712,6,6,11,0,,6
1751,4-171,6,20130819,20131214,14,14,10,0,,
1751,4-171,7,20140114,20140510,14,10,11,0,,5
1751,4-171,8,20140603,20140928,11,11,10,0,,5
1751,6-79,3,20130820,20131212,10,9,12,0,,
1751,6-79,4,20140108,20140503,13,12,10,0,,6
1751,6-79,5,20140528,20140922,8,8,10,0,,6
1751,6-79,6,20141021,20150214,11,9,10,0,,5
1751,6-79,7,20150317,20150710,13,12,10,0,,5
1751,6-79,8,20150805,20151130,13,12,10,0,,6
1751,6-79,9,20160105,20160429,11,10,12,0,,12
1751,61-57,4,20130820,20131215,13,12,10,0,,
1751,61-57,5,20140114,20140509,10,10,11,0,,5
1751,61-57,6,20140603,20140927,10,8,10,0,,5
1751,61-57,7,20141028,20150221,10,9,10,0,,5
1751,6-102,2,20130820,20131214,8,8,8,0,,
1751,6-102,3,20140114,20140510,12,12,11,0,,5
1751,6-102,4,20140604,20140928,10,10,10,0,,6
1751,6-102,5,20141028,20150222,9,7,11,0,,5
1751,6-102,6,20150317,20150711,11,10,10,0,,5
