FARM_NO,,FARM_PIG_NO,,BUNMAN_SANCHA,,GYOBAE_DT,,BUNMAN_DT,,CHONGSAN,,SILSAN,,EUDUSU,,EUKG,,CHOGYOBAE,,JAE
624,,37-81,,3,,20100726,,20101118,,9,,9,,6,,0,,,,
624,,37-81,,4,,20110203,,20110531,,13,,12,,9,,72,,,,43
624,,37-81,,5,,20110711,,20111103,,9,,7,,5,,35,,,,12
624,,37-81,,6,,20111227,,20120421,,10,,9,,5,,37.5,,,,26
624,,12-42,,2,,20100726,,20101119,,13,,13,,7,,0,,,,
624,,8-43,,1,,20100726,,20101122,,5,,5,,4,,0,,193,,
624,,8-43,,2,,20110418,,20110811,,11,,11,,5,,35,,,,117
624,,8-43,,3,,20120511,,20120903,,12,,10,,8,,64,,,,250
624,,8-43,,4,,20121016,,20130206,,13,,13,,9,,72,,,,11
624,,8-43,,5,,20130312,,20130706,,16,,15,,11,,82.5,,,,5
624,,8-43,,6,,20140601,,20140925,,6,,6,,9,,63,,,,
624,,8-43,,7,,20141021,,20150213,,12,,12,,8,,60,,,,5
624,,8-43,,8,,20150316,,20150710,,13,,12,,9,,67.5,,,,4
624,,8-43,,9,,20150902,,20151228,,6,,6,,7,,56,,,,11
624,,9-58,,2,,20100908,,20110104,,11,,11,,4,,32,,,,
624,,9-58,,3,,20110216,,20110612,,16,,16,,8,,56,,,,20
624,,9-58,,4,,20110711,,20111104,,9,,9,,8,,56,,,,4
624,,9-58,,5,,20111206,,20120330,,10,,7,,10,,80,,,,5
624,,9-58,,6,,20120501,,20120824,,11,,11,,8,,56,,,,5
624,,9-58,,7,,20120925,,20130118,,14,,1,,0,,0,,,,5
624,,9-58,,8,,20130503,,20130826,,10,,0,,0,,0,,,,
624,,15-70,,2,,20100802,,20101129,,11,,11,,4,,0,,,,
624,,15-70,,3,,20110404,,20110730,,15,,15,,10,,60,,,,
624,,15-70,,4,,20110914,,20120109,,14,,14,,10,,70,,,,19
624,,15-70,,5,,20120208,,20120604,,18,,18,,9,,72,,,,6
624,,15-70,,6,,20120703,,20121027,,18,,17,,10,,70,,,,5
624,,15-70,,7,,20121127,,20130323,,20,,16,,14,,98,,,,5
624,,15-70,,8,,20130423,,20130817,,23,,4,,9,,63,,,,5
624,,15-70,,9,,20130917,,20140112,,19,,16,,11,,71.5,,,,5
624,,15-70,,10,,20140211,,20140606,,22,,10,,0,,0,,,,5
624,,15-70,,11,,20140802,,20141128,,15,,10,,9,,54,,,,30
624,,15-36,,2,,20100907,,20101230,,11,,11,,6,,42,,,,
624,,16-30,,2,,20100802,,20101126,,11,,11,,5,,0,,,,
624,,16-30,,3,,20110106,,20110504,,15,,14,,8,,40,,,,7
624,,16-30,,4,,20110530,,20110924,,10,,9,,9,,63,,,,4
624,,16-30,,5,,20111025,,20120217,,14,,12,,7,,42,,,,5
624,,16-30,,6,,20120320,,20120713,,14,,14,,8,,56,,,,5
624,,16-30,,7,,20120814,,20121209,,14,,10,,10,,65,,,,5
624,,16-30,,8,,20130108,,20130504,,10,,8,,8,,64,,,,5
624,,16-30,,9,,20130604,,20130927,,11,,6,,5,,35,,,,5
624,,16-30,,10,,20131028,,20140221,,14,,9,,10,,75,,,,4
624,,16-30,,11,,20140326,,20140719,,14,,10,,5,,30,,,,6
624,,16-30,,12,,20140818,,20141213,,9,,6,,0,,0,,,,4
624,,16-30,,13,,20150318,,20150713,,4,,0,,7,,45.5,,,,
624,,17-43,,5,,20100802,,20101126,,9,,9,,5,,35,,,,
624,,17-43,,6,,20110104,,20110501,,15,,14,,11,,77,,,,5
624,,17-43,,7,,20110530,,20110923,,16,,15,,10,,70,,,,4
624,,36-22,,3,,20100802,,20101125,,10,,10,,6,,0,,,,
624,,7096,,6,,20100802,,20101126,,12,,12,,6,,0,,,,
624,,7096,,7,,20110320,,20110716,,11,,11,,10,,80,,,,
624,,15-84,,2,,20100911,,20110104,,12,,12,,9,,63,,,,
624,,15-84,,3,,20110216,,20110611,,16,,16,,8,,56,,,,20
624,,15-84,,4,,20110713,,20111103,,13,,12,,10,,80,,,,6
624,,15-84,,5,,20111206,,20120330,,15,,15,,6,,42,,,,5
624,,15-84,,6,,20121114,,20130308,,9,,9,,8,,52,,,,
624,,15-84,,7,,20130402,,20130726,,12,,12,,12,,72,,,,5
624,,17-33,,5,,20100809,,20101203,,12,,9,,6,,36,,,,
624,,17-33,,6,,20110103,,20110427,,12,,10,,11,,0,,,,4
624,,17-33,,7,,20110708,,20111103,,11,,11,,10,,70,,,,
624,,17-33,,8,,20111206,,20120329,,14,,14,,10,,80,,,,5
624,,17-33,,9,,20120501,,20120824,,12,,12,,8,,64,,,,5
624,,14-84,,3,,20100809,,20101202,,11,,11,,7,,35,,,,
624,,14-84,,4,,20110103,,20110430,,17,,17,,10,,80,,,,4
624,,14-84,,5,,20110530,,20110923,,15,,14,,11,,77,,,,4
624,,14-84,,6,,20111025,,20120216,,13,,13,,11,,77,,,,5
624,,14-84,,7,,20120320,,20120714,,11,,11,,11,,88,,,,5
624,,14-84,,8,,20120814,,20121209,,15,,13,,9,,67.5,,,,5
624,,14-84,,9,,20130108,,20130503,,13,,13,,11,,82.5,,,,5
624,,14-84,,10,,20130604,,20130927,,17,,13,,9,,63,,,,5
624,,14-84,,11,,20131029,,20140221,,15,,14,,10,,70,,,,5
624,,14-84,,12,,20140325,,20140718,,13,,13,,9,,72,,,,5
624,,14-84,,13,,20140819,,20141212,,12,,12,,10,,70,,,,5
624,,14-84,,14,,20150113,,20150506,,12,,4,,5,,35,,,,5
624,,14-84,,15,,20150608,,20151003,,8,,8,,6,,48,,,,6
624,,19-63,,4,,20101010,,20110205,,10,,9,,10,,90,,,,
624,,19-63,,5,,20110309,,20110704,,11,,10,,10,,70,,,,9
624,,19-63,,6,,20110822,,20111219,,8,,0,,7,,56,,,,
624,,19-63,,7,,20120117,,20120511,,13,,13,,5,,35,,,,5
624,,8-76,,1,,20100815,,20101208,,8,,8,,5,,40,,213,,
624,,8-76,,2,,20110126,,20110520,,16,,16,,11,,88,,,,15
624,,8-76,,3,,20110622,,20111014,,13,,13,,9,,72,,,,5
624,,8-76,,4,,20111227,,20120419,,15,,14,,10,,70,,,,
624,,8-76,,5,,20120522,,20120912,,17,,10,,2,,12,,,,5
624,,8-76,,6,,20121111,,20130302,,17,,13,,11,,66,,,,37
624,,8-76,,7,,20130506,,20130828,,18,,15,,9,,72,,,,
624,,8-76,,8,,20131008,,20140129,,18,,13,,9,,67.5,,,,5
624,,8-76,,9,,20140304,,20140627,,18,,11,,9,,63,,,,5
624,,8-76,,10,,20140729,,20141121,,15,,11,,8,,60,,,,5
624,,8-76,,11,,20150303,,20150626,,12,,10,,9,,63,,,,
624,,8-76,,12,,20150721,,20151113,,13,,7,,5,,35,,,,5
624,,16-4,,3,,20100823,,20101217,,11,,11,,0,,0,,,,
624,,16-14,,2,,20100823,,20101217,,11,,11,,0,,0,,,,
624,,16-14,,3,,20110126,,20110521,,12,,11,,10,,90,,,,40
624,,16-14,,4,,20110622,,20111015,,11,,11,,10,,75,,,,5
624,,16-14,,5,,20111115,,20120309,,12,,12,,12,,84,,,,5
624,,16-14,,6,,20120410,,20120803,,14,,14,,10,,80,,,,5
624,,16-14,,7,,20120904,,20121229,,12,,11,,10,,70,,,,5
624,,16-14,,8,,20130129,,20130524,,8,,8,,8,,56,,,,5
624,,16-14,,9,,20130625,,20131018,,14,,12,,12,,96,,,,5
624,,16-14,,10,,20131119,,20140314,,20,,20,,11,,82.5,,,,5
624,,16-14,,11,,20140415,,20140808,,12,,11,,11,,88,,,,5
624,,16-14,,12,,20140909,,20150102,,10,,0,,0,,0,,,,5
624,,16-14,,13,,20150524,,20150918,,3,,3,,10,,65,,,,
624,,16-23,,3,,20100823,,20101221,,7,,6,,4,,32,,,,
624,,16-23,,4,,20110126,,20110522,,6,,6,,11,,77,,,,6
624,,16-23,,5,,20110622,,20111016,,7,,7,,10,,70,,,,5
624,,16-23,,6,,20111116,,20120311,,7,,7,,10,,75,,,,6
624,,16-23,,7,,20120411,,20120804,,10,,10,,10,,70,,,,6
624,,16-23,,8,,20120904,,20121230,,12,,12,,9,,63,,,,5
624,,16-23,,9,,20130130,,20130526,,11,,10,,9,,63,,,,6
624,,16-23,,10,,20130626,,20131019,,11,,11,,11,,88,,,,6
624,,16-23,,11,,20131120,,20140314,,14,,12,,10,,75,,,,6
624,,16-23,,12,,20140415,,20140808,,10,,8,,11,,88,,,,5
624,,16-23,,13,,20140909,,20150101,,9,,4,,4,,30,,,,5
624,,16-23,,14,,20150204,,20150529,,8,,8,,10,,80,,,,6
624,,16-23,,15,,20150630,,20151028,,5,,5,,6,,54,,,,5
624,,15-85,,3,,20101009,,20110131,,14,,14,,10,,60,,,,
624,,15-85,,4,,20110411,,20110803,,11,,11,,9,,54,,,,47
624,,15-85,,5,,20110914,,20120107,,14,,14,,10,,70,,,,19
624,,15-85,,6,,20120207,,20120531,,14,,13,,8,,56,,,,5
624,,64-69,,2,,20100407,,20100731,,6,,6,,9,,0,,,,
624,,64-69,,3,,20100914,,20110110,,11,,10,,8,,72,,,,15
624,,64-69,,4,,20110214,,20110612,,3,,3,,9,,54,,,,4
624,,64-69,,5,,20110712,,20111103,,9,,9,,9,,63,,,,5
624,,89-40,,2,,20100405,,20100729,,13,,13,,12,,84,,,,
624,,89-40,,3,,20101021,,20110212,,8,,6,,7,,70,,,,
624,,89-40,,4,,20110423,,20110816,,15,,10,,10,,70,,,,30
624,,89-40,,5,,20120128,,20120522,,13,,13,,12,,96,,,,
624,,89-40,,6,,20120930,,20130122,,11,,7,,9,,63,,,,
624,,15-134,,2,,20100406,,20100730,,14,,14,,9,,0,,,,
624,,15-134,,3,,20100831,,20101223,,12,,12,,9,,63,,,,5
624,,15-134,,4,,20110124,,20110515,,14,,12,,10,,70,,,,4
624,,15-134,,5,,20110810,,20111205,,7,,5,,5,,30,,,,
624,,8-88,,2,,20100406,,20100730,,8,,8,,10,,0,,,,
624,,8-88,,3,,20100830,,20101223,,13,,13,,7,,56,,,,4
624,,8-88,,4,,20110124,,20110520,,15,,13,,8,,64,,,,4
624,,8-88,,5,,20110622,,20111014,,13,,8,,9,,67.5,,,,5
624,,8-88,,6,,20111115,,20120309,,11,,7,,10,,70,,,,5
624,,9-73,,2,,20100406,,20100730,,9,,9,,8,,0,,,,
624,,9-73,,3,,20100901,,20101225,,10,,10,,7,,49,,,,6
624,,9-73,,4,,20110124,,20110520,,17,,17,,11,,77,,,,4
624,,9-73,,5,,20110622,,20111015,,12,,11,,9,,63,,,,5
624,,9-73,,6,,20111115,,20120308,,15,,14,,6,,48,,,,5
624,,9-73,,7,,20120410,,20120803,,11,,11,,5,,35,,,,5
624,,9-73,,8,,20120904,,20121229,,9,,6,,6,,42,,,,5
624,,9-73,,9,,20130129,,20130524,,14,,10,,8,,56,,,,5
624,,9-73,,10,,20130624,,20131017,,10,,10,,10,,70,,,,4
624,,9-73,,11,,20131119,,20140314,,13,,13,,10,,70,,,,5
624,,9-73,,12,,20140415,,20140808,,12,,11,,9,,72,,,,5
624,,9-73,,13,,20140909,,20150102,,12,,12,,6,,42,,,,5
624,,9-73,,14,,20150203,,20150530,,7,,1,,6,,42,,,,5
624,,9-69,,2,,20100408,,20100801,,14,,14,,9,,0,,,,
624,,9-69,,3,,20101016,,20110208,,9,,9,,9,,81,,,,
624,,9-69,,4,,20110321,,20110715,,13,,13,,11,,77,,,,21
624,,9-69,,5,,20110823,,20111218,,11,,11,,11,,82.5,,,,15
624,,9-69,,6,,20120117,,20120512,,14,,14,,8,,56,,,,5
624,,9-69,,7,,20120612,,20121008,,15,,14,,12,,84,,,,5
624,,9-69,,8,,20121107,,20130302,,14,,13,,9,,63,,,,5
624,,9-69,,9,,20130402,,20130727,,15,,15,,10,,70,,,,5
624,,9-69,,10,,20130827,,20131220,,8,,6,,6,,42,,,,5
624,,9-69,,11,,20140121,,20140516,,14,,14,,10,,75,,,,5
624,,9-69,,12,,20140617,,20141011,,16,,15,,8,,56,,,,5
624,,9-69,,13,,20141111,,20150307,,13,,12,,8,,64,,,,5
624,,9-69,,14,,20150406,,20150731,,10,,10,,7,,52.5,,,,4
624,,9-69,,15,,20150901,,20151228,,10,,10,,9,,67.5,,,,5
624,,9-69,,16,,20160125,,20160522,,9,,8,,10,,70,,,,4
624,,9-60,,2,,20100409,,20100802,,11,,11,,10,,0,,,,
624,,9-60,,3,,20100901,,20101225,,7,,7,,5,,40,,,,6
624,,9-60,,4,,20110126,,20110521,,11,,11,,9,,72,,,,6
624,,9-60,,5,,20110623,,20111016,,14,,14,,11,,88,,,,6
624,,9-60,,6,,20111115,,20120309,,17,,15,,11,,88,,,,5
624,,9-60,,7,,20120410,,20120803,,14,,14,,11,,77,,,,5
624,,9-191,,4,,20100406,,20100730,,10,,10,,9,,0,,,,
624,,9-191,,5,,20100901,,20101225,,9,,9,,9,,72,,,,6
624,,8-85,,2,,20100423,,20100816,,15,,15,,9,,0,,,,
624,,8-85,,3,,20100914,,20110110,,13,,13,,8,,48,,,,4
624,,8-85,,4,,20110430,,20110822,,12,,12,,9,,72,,,,79
624,,8-85,,5,,20111004,,20120128,,14,,12,,13,,78,,,,16
624,,8-85,,6,,20120321,,20120715,,12,,12,,9,,72,,,,27
624,,8-85,,7,,20120815,,20121209,,11,,9,,10,,80,,,,6
624,,8-85,,8,,20130108,,20130504,,15,,13,,8,,64,,,,5
624,,8-85,,9,,20130605,,20130929,,12,,12,,9,,72,,,,6
624,,8-85,,10,,20131029,,20140221,,13,,12,,9,,76.5,,,,5
624,,8-85,,11,,20140528,,20140920,,2,,2,,6,,48,,,,69
624,,8-85,,12,,20141021,,20150213,,7,,5,,8,,80,,,,5
624,,8-85,,13,,20150316,,20150710,,11,,11,,10,,80,,,,4
624,,8-85,,14,,20150811,,20151207,,7,,7,,9,,67.5,,,,5
624,,8-85,,15,,20160105,,20160501,,8,,7,,9,,63,,,,5
624,,4-1,,3,,20100419,,20100812,,8,,8,,9,,0,,,,
624,,171-32,,3,,20100420,,20100813,,11,,11,,11,,0,,,,
624,,171-32,,4,,20100914,,20110107,,10,,10,,7,,77,,,,4
624,,171-32,,5,,20110214,,20110608,,14,,12,,9,,90,,,,4
624,,171-32,,6,,20110711,,20111103,,14,,10,,9,,81,,,,4
624,,171-32,,7,,20111206,,20120328,,15,,15,,8,,56,,,,5
624,,171-32,,8,,20120501,,20120824,,13,,13,,10,,80,,,,5
624,,171-32,,9,,20130203,,20130530,,10,,7,,9,,63,,,,
624,,171-32,,10,,20131014,,20140131,,10,,6,,0,,0,,,,
624,,105-133,,2,,20100426,,20100819,,8,,8,,8,,0,,,,
624,,105-133,,3,,20100920,,20110115,,13,,13,,10,,70,,,,4
624,,105-133,,4,,20110215,,20110611,,16,,16,,8,,56,,,,5
624,,105-133,,5,,20110711,,20111103,,12,,12,,12,,84,,,,4
624,,105-133,,6,,20111206,,20120401,,10,,10,,10,,70,,,,5
624,,105-133,,7,,20120430,,20120824,,11,,11,,11,,77,,,,4
624,,105-133,,8,,20130102,,20130428,,12,,12,,10,,80,,,,
624,,105-133,,9,,20130603,,20130927,,14,,12,,9,,63,,,,4
624,,105-133,,10,,20140207,,20140605,,11,,5,,9,,63,,,,
624,,105-133,,11,,20140708,,20141101,,12,,7,,0,,0,,,,5
624,,105-133,,12,,20141202,,20150329,,11,,11,,11,,77,,,,5
624,,105-133,,13,,20150428,,20150823,,12,,8,,8,,56,,,,5
624,,105-133,,14,,20150922,,20160120,,11,,8,,6,,42,,,,5
624,,7092,,3,,20100429,,20100822,,12,,12,,9,,0,,,,
624,,7092,,4,,20100920,,20110113,,10,,10,,9,,72,,,,4
624,,7092,,5,,20110620,,20111013,,5,,2,,3,,24,,,,
624,,17,,5,,20100429,,20100824,,7,,2,,0,,0,,,,
624,,12-38,,1,,20100429,,20100822,,14,,14,,9,,0,,249,,
624,,12-38,,2,,20100920,,20110113,,10,,8,,6,,36,,,,4
624,,12-38,,3,,20110215,,20110610,,12,,11,,9,,63,,,,5
624,,12-38,,4,,20110712,,20111104,,13,,13,,9,,63,,,,5
624,,12-38,,5,,20111206,,20120330,,17,,16,,9,,72,,,,5
624,,12-38,,6,,20120501,,20120824,,15,,12,,9,,72,,,,5
624,,12-38,,7,,20120926,,20130118,,17,,3,,0,,0,,,,6
624,,103-9,,5,,20100504,,20100827,,14,,12,,8,,0,,,,
624,,103-9,,6,,20100920,,20110115,,9,,9,,6,,42,,,,4
624,,103-9,,7,,20110420,,20110816,,7,,7,,4,,24,,,,
624,,170-17,,5,,20100504,,20100830,,10,,10,,8,,0,,,,
624,,170-17,,6,,20100920,,20110114,,7,,0,,0,,0,,,,4
624,,16-38,,1,,20100504,,20100826,,11,,11,,8,,48,,241,,
624,,10-9,,2,,20100511,,20100903,,14,,13,,8,,0,,,,
624,,10-9,,3,,20101009,,20110201,,13,,13,,8,,48,,,,5
624,,10-9,,4,,20110322,,20110717,,17,,16,,11,,77,,,,27
624,,10-9,,5,,20110823,,20111218,,13,,13,,12,,84,,,,15
624,,10-9,,6,,20120119,,20120513,,12,,12,,7,,49,,,,7
624,,10-9,,7,,20120612,,20121007,,14,,14,,10,,70,,,,5
624,,10-9,,8,,20121107,,20130302,,10,,10,,10,,70,,,,5
624,,10-9,,9,,20130402,,20130727,,15,,15,,9,,58.5,,,,5
624,,10-9,,10,,20130827,,20131221,,13,,13,,7,,49,,,,5
624,,10-9,,11,,20140121,,20140516,,16,,11,,9,,72,,,,5
624,,10-9,,12,,20140617,,20141011,,16,,10,,7,,52.5,,,,5
624,,10-9,,13,,20141111,,20150307,,14,,9,,9,,72,,,,5
624,,10-9,,14,,20150407,,20150801,,12,,8,,8,,56,,,,5
624,,10-9,,15,,20150901,,20151227,,11,,11,,10,,70,,,,5
624,,98-7,,5,,20100513,,20100905,,13,,12,,8,,0,,,,
624,,98-7,,6,,20101009,,20110131,,9,,7,,9,,54,,,,5
624,,98-7,,7,,20110807,,20111129,,3,,1,,0,,0,,,,
624,,37-45,,3,,20100515,,20100905,,12,,12,,8,,0,,,,
624,,37-45,,4,,20101009,,20110201,,16,,15,,11,,0,,,,5
624,,37-45,,5,,20110310,,20110704,,11,,11,,11,,88,,,,10
624,,37-45,,6,,20110801,,20111127,,9,,7,,7,,49,,,,4
624,,37-45,,7,,20111227,,20120421,,13,,13,,10,,70,,,,5
624,,37-45,,8,,20120522,,20120916,,14,,14,,13,,91,,,,5
624,,37-45,,9,,20121016,,20130207,,19,,15,,10,,70,,,,5
624,,37-45,,10,,20130312,,20130705,,17,,15,,11,,77,,,,5
624,,37-45,,11,,20130806,,20131130,,15,,12,,10,,70,,,,5
624,,37-45,,12,,20131231,,20140426,,14,,13,,11,,77,,,,5
624,,37-45,,13,,20140712,,20141101,,14,,10,,8,,56,,,,
624,,37-5,,3,,20100515,,20100905,,15,,14,,7,,0,,,,
624,,37-5,,4,,20101009,,20110131,,11,,11,,8,,48,,,,5
624,,37-5,,5,,20110321,,20110714,,15,,12,,12,,96,,,,26
624,,37-5,,6,,20110823,,20111217,,12,,10,,9,,63,,,,15
624,,37-5,,7,,20120117,,20120512,,11,,11,,9,,63,,,,5
624,,37-5,,8,,20120612,,20121007,,11,,10,,10,,75,,,,5
624,,37-5,,9,,20121107,,20130301,,12,,10,,9,,63,,,,5
624,,37-5,,10,,20130402,,20130727,,14,,12,,11,,77,,,,5
624,,37-5,,11,,20130827,,20131221,,11,,11,,8,,64,,,,5
624,,37-5,,12,,20140121,,20140516,,14,,12,,8,,60,,,,5
624,,37-5,,13,,20140617,,20141010,,14,,11,,6,,48,,,,5
624,,8-81,,3,,20100515,,20100902,,13,,13,,8,,0,,,,
624,,8-81,,4,,20110503,,20110826,,8,,7,,7,,56,,,,
624,,8-81,,5,,20111027,,20120219,,13,,13,,12,,72,,,,28
624,,8-81,,6,,20120411,,20120807,,2,,2,,2,,16,,,,27
624,,8-81,,7,,20120928,,20130121,,16,,13,,8,,56,,,,29
624,,8-74,,2,,20100516,,20100907,,10,,10,,8,,0,,,,
624,,8-74,,3,,20101124,,20110318,,15,,15,,12,,96,,,,51
624,,8-74,,4,,20110419,,20110811,,13,,13,,11,,88,,,,5
624,,8-74,,5,,20110914,,20120107,,6,,6,,8,,64,,,,5
624,,8-74,,6,,20120207,,20120531,,10,,9,,8,,64,,,,5
624,,8-74,,7,,20120718,,20121109,,13,,13,,9,,63,,,,20
624,,8-74,,8,,20121217,,20130413,,13,,13,,10,,70,,,,4
624,,8-74,,9,,20130514,,20130906,,14,,11,,11,,77,,,,5
624,,8-74,,10,,20131008,,20140131,,11,,10,,8,,60,,,,5
624,,8-74,,11,,20140304,,20140628,,9,,9,,10,,70,,,,5
624,,8-63,,1,,20100923,,20110116,,12,,12,,12,,72,,252,,
624,,8-63,,2,,20110424,,20110817,,18,,16,,9,,63,,,,66
624,,8-63,,3,,20111027,,20120220,,14,,14,,11,,77,,,,48
624,,8-63,,4,,20120321,,20120715,,2,,2,,7,,49,,,,6
624,,8-63,,5,,20120815,,20121208,,12,,12,,8,,56,,,,6
624,,8-63,,6,,20130108,,20130503,,14,,10,,10,,70,,,,5
624,,8-63,,7,,20130605,,20130927,,16,,14,,9,,67.5,,,,6
624,,8-63,,8,,20131029,,20140221,,13,,11,,0,,0,,,,5
624,,8-60,,1,,20100814,,20101207,,11,,11,,5,,35,,212,,
624,,8-60,,2,,20110127,,20110523,,11,,9,,9,,63,,,,16
624,,8-60,,3,,20110622,,20111015,,12,,12,,7,,56,,,,5
624,,8-60,,4,,20111207,,20120402,,14,,14,,10,,80,,,,27
624,,8-60,,5,,20120502,,20120826,,11,,10,,10,,70,,,,6
624,,8-60,,6,,20120926,,20130119,,14,,10,,9,,63,,,,6
624,,8-60,,7,,20130220,,20130615,,14,,10,,10,,80,,,,6
624,,7-81,,1,,20100914,,20110109,,11,,11,,6,,42,,243,,
624,,8-29,,1,,20100822,,20101215,,8,,1,,0,,0,,220,,
624,,8-29,,2,,20110126,,20110521,,15,,14,,10,,70,,,,42
624,,8-29,,3,,20110622,,20111016,,16,,15,,9,,54,,,,5
624,,8-29,,4,,20111115,,20120309,,14,,12,,11,,82.5,,,,5
624,,8-29,,5,,20120410,,20120803,,13,,10,,10,,70,,,,5
624,,8-29,,6,,20120904,,20121230,,10,,10,,10,,70,,,,5
624,,8-29,,7,,20130129,,20130524,,15,,13,,10,,70,,,,5
624,,8-29,,8,,20130625,,20131018,,13,,10,,10,,75,,,,5
624,,8-29,,9,,20140528,,20140920,,7,,7,,0,,0,,,,
624,,7-74,,1,,20100923,,20110114,,11,,10,,6,,42,,252,,
624,,7-74,,2,,20110402,,20110726,,9,,9,,9,,72,,,,38
624,,7-74,,3,,20110824,,20111216,,11,,11,,10,,90,,,,6
624,,7-74,,4,,20120117,,20120510,,13,,13,,11,,88,,,,5
624,,7-74,,5,,20120612,,20121006,,13,,13,,10,,80,,,,5
624,,7-74,,6,,20121107,,20130301,,14,,13,,11,,77,,,,5
624,,7-74,,7,,20130809,,20131202,,9,,9,,9,,72,,,,
624,,7-74,,8,,20131231,,20140424,,14,,14,,11,,88,,,,5
624,,7-74,,9,,20140527,,20140918,,12,,12,,11,,77,,,,5
624,,7-74,,10,,20150304,,20150627,,7,,7,,6,,36,,,,
624,,8-74A,,2,,20100823,,20101216,,12,,10,,6,,48,,,,
624,,8-74A,,3,,20110127,,20110521,,12,,12,,11,,77,,,,16
624,,8-74A,,4,,20110622,,20111015,,12,,12,,11,,77,,,,5
624,,8-74A,,5,,20111115,,20120309,,13,,13,,11,,77,,,,5
624,,8-74A,,6,,20120410,,20120803,,12,,12,,8,,64,,,,5
624,,8-74A,,7,,20120904,,20121228,,14,,13,,9,,58.5,,,,5
624,,8-74A,,8,,20130129,,20130524,,13,,11,,10,,80,,,,5
624,,8-74A,,9,,20130625,,20131018,,15,,12,,9,,67.5,,,,5
624,,8-74A,,10,,20131119,,20140314,,15,,11,,9,,67.5,,,,5
624,,8-74A,,11,,20140415,,20140808,,15,,11,,9,,72,,,,5
624,,8-74A,,12,,20140909,,20150102,,9,,6,,3,,18,,,,5
624,,8-74A,,13,,20150320,,20150713,,8,,8,,7,,49,,,,
624,,7-92,,2,,20100823,,20101214,,10,,0,,0,,0,,,,
624,,7-92,,3,,20110214,,20110610,,13,,13,,12,,84,,,,25
624,,7-92,,4,,20110711,,20111103,,12,,12,,9,,81,,,,4
624,,7-92,,5,,20111206,,20120330,,15,,15,,12,,84,,,,5
624,,7-92,,6,,20120501,,20120824,,11,,11,,9,,63,,,,5
624,,7-92,,7,,20120925,,20130118,,11,,10,,10,,70,,,,5
624,,7-92,,8,,20130219,,20130614,,15,,12,,10,,75,,,,5
624,,7-92,,9,,20130716,,20131109,,15,,11,,9,,63,,,,5
624,,7-92,,10,,20131210,,20140405,,7,,4,,9,,63,,,,5
624,,7-92,,11,,20140506,,20140829,,13,,10,,10,,70,,,,5
624,,7-92,,12,,20140930,,20150124,,12,,12,,9,,63,,,,5
624,,9-4,,2,,20100823,,20101216,,15,,14,,0,,0,,,,
624,,9-4,,3,,20110119,,20110513,,16,,15,,10,,100,,,,34
624,,9-4,,4,,20110622,,20111015,,16,,16,,8,,56,,,,5
624,,9-4,,5,,20111115,,20120309,,14,,14,,9,,72,,,,5
624,,9-4,,6,,20120410,,20120803,,13,,13,,10,,70,,,,5
624,,9-4,,7,,20120904,,20121230,,13,,13,,10,,75,,,,5
624,,9-4,,8,,20130129,,20130524,,13,,13,,10,,70,,,,5
624,,9-4,,9,,20130625,,20131014,,17,,15,,9,,63,,,,5
624,,9-4,,10,,20131120,,20140315,,11,,11,,8,,56,,,,6
624,,9-4,,11,,20140415,,20140808,,15,,15,,10,,70,,,,5
624,,9-4,,12,,20140910,,20150106,,16,,12,,8,,56,,,,6
624,,9-4,,13,,20150203,,20150531,,12,,10,,5,,40,,,,5
624,,99-39,,3,,20100513,,20100905,,12,,12,,8,,0,,,,
624,,99-39,,4,,20101009,,20110131,,12,,11,,0,,0,,,,5
624,,0-2,,5,,20100710,,20101102,,9,,8,,7,,0,,,,
624,,0-2,,6,,20101215,,20110408,,9,,8,,8,,64,,,,15
624,,0-2,,7,,20110620,,20111012,,4,,4,,3,,21,,,,46
624,,8-64,,1,,20101215,,20110409,,12,,12,,7,,63,,243,,
624,,8-64,,2,,20110510,,20110903,,13,,11,,11,,77,,,,5
624,,8-64,,3,,20111025,,20120217,,12,,11,,12,,96,,,,26
624,,8-64,,4,,20120321,,20120713,,13,,13,,10,,100,,,,6
624,,8-64,,5,,20120924,,20130118,,12,,9,,8,,60,,,,46
624,,8-64,,6,,20130219,,20130614,,16,,12,,10,,70,,,,5
624,,8-64,,7,,20130716,,20131109,,8,,8,,9,,63,,,,5
624,,8-64,,8,,20131210,,20140405,,13,,9,,2,,16,,,,5
624,,8-64,,9,,20140505,,20140827,,6,,4,,4,,36,,,,4
624,,8-31,,3,,20100515,,20100910,,13,,12,,11,,0,,,,
624,,8-31,,4,,20101010,,20110204,,11,,10,,11,,88,,,,6
624,,8-31,,5,,20110310,,20110705,,11,,10,,12,,84,,,,10
624,,8-31,,6,,20110822,,20111219,,10,,10,,9,,63,,,,25
624,,8-31,,7,,20120119,,20120517,,12,,11,,8,,72,,,,7
624,,8-31,,8,,20120912,,20130107,,12,,9,,7,,63,,,,
624,,8-31,,9,,20130220,,20130615,,14,,11,,11,,77,,,,10
624,,8-31,,10,,20130912,,20140107,,13,,12,,6,,54,,,,63
624,,8-31,,11,,20140702,,20141028,,17,,9,,0,,0,,,,
624,,8-31,,12,,20141226,,20150422,,15,,12,,10,,70,,,,29
624,,8-31,,13,,20150520,,20150914,,13,,12,,7,,45.5,,,,6
